Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Bénító Fagy	Jel	Aqua	Mélység Őrző	-	-	2	2	-	-	Aktiválás: Amikor az ellenfél egyik Entitása támadást indít. Hatás: A támadás érvénytelenítődik (nem történik sebzés), és a támadó Entitás a következő Ébredés fázisában nem állhat fel (Kimerült marad).	when enemy entity attacks: cancel that attack and attacker stays exhausted through next awakening	blank	blank	on_attack_declared	enemy_entity	exhaust, attack_nullify	next_own_awakening	none	Ha az ellenfél egyik entitása támadást indít, a támadás meghiúsul, és a támadó a következő Ébredés fázisban sem áll fel.	osszetett_egyedi	Támadás-megszakítás és késleltetett felállásgátlás kombinációja.
Örvénycsapda	Jel	Aqua	Mélység Őrző	-	-	3	3	-	-	Aktiválás: Amikor az ellenfél megtámadja egy Oltalom (Aegis) képességű Entitásodat. Hatás: A támadó Entitás azonnal Kimerült állapotba kerül anélkül, hogy a támadása végbemenne és sebzést osztana ki. Ráadásul a következő Ébredés fázisban nem állhat fel újra!	when enemy attacks your aegis entity: attacker becomes exhausted, attack is canceled, and it stays exhausted through next awakening	blank	aegis	on_attack_declared	enemy_entity	exhaust, attack_nullify	next_own_awakening	trigger_only_if_targeted_allied_entity_has_aegis	Ha az ellenfél egy Aegis-es entitásodat támadja, a támadó kimerül, a támadás meghiúsul, és a következő Ébredéskor sem áll fel.	osszetett_egyedi	Aegis-feltételes támadásmegszakító trap tartós exhausttal.
Tengeri Áldozat	Jel	Aqua	Mélység Őrző	-	-	3	1	-	-	Aktiválás: Amikor az ellenfél feltöri az egyik Pecsétedet. Hatás: Azonnal húzz 3 lapot, és ha van köztük olyan Entitás, aminek a Magnitúdója <= 2, egyet ingyen, Kimerült állapotban a Zenitbe tehetsz.	when enemy breaks one of your seals: draw 3 cards, then you may place an entity with magnitude 2 or less among them into Zenit exhausted	zenit, deck, hand, seal_row	blank	on_seal_break	own_hand	draw, summon, exhaust, free_cast	instant	may_place_drawn_entity_with_magnitude_lte_2_into_zenit_exhausted	Ha az ellenfél feltöri az egyik pecsétedet, 3 lapot húzol, és egy 2-es vagy kisebb Magnitúdójú húzott entitást ingyen a Zenitbe tehetsz kimerülten.	osszetett_egyedi	Pecséttörés-trigger + húzás + feltételes ingyenes lerakás több lépésben.
Fagyos Tükröződés	Jel	Aqua	Mélység Őrző	-	-	4	2	-	-	Aktiválás: Amikor az ellenfél kijátszik egy téged vagy Entitásodat sebző Rituálét/Igét. Hatás: A sebzés semlegesítődik (0-ra csökken), és a semlegesített varázslat Magnitúdójával megegyező számú kártyát húzhatsz a paklidból!	when enemy plays a damaging spell or ritual targeting you or your entity: prevent that damage and draw cards equal to that spell's magnitude	deck, aeternal	blank	on_enemy_spell_or_ritual_played	own_aeternal, own_entity, enemy_spell_or_ritual	damage_prevention, draw	instant	trigger_only_if_an_enemy_spell_or_ritual_would_deal_damage_to_you_or_your_entity	A sebzés megelőződik, majd a semlegesített varázslat Magnitúdójával megegyező számú lapot húzhatsz.	osszetett_egyedi	Spell-damage prevention, majd a kiváltó spell Magnitúdójából számolt húzás.
A Korallzátony Szíve	Sík	Aqua	Mélység Őrző	-	-	3	4	-	-	Amíg aktív, minden alkalommal, amikor egy saját Entitásod HP-t tölt vissza magának (vagy kap), te is kapsz 1 ideiglenes Aqua Aurát a következő körödre (körönként maximum egyszer).	while active, whenever your allied entity is healed, gain 1 temporary Aqua aura for your next turn, max once per turn	dominium	blank	on_heal	own_entity	resource_gain	next_own_turn_start	triggers_when_allied_entity_is_healed_max_once_per_turn	Ha egy saját entitásod gyógyul, körönként legfeljebb egyszer 1 ideiglenes Aqua Aurát kapsz a következő saját körödre.	folyamatos_sik_hatas	Gyógyítás-triggeres, körönként limitált ideiglenes erőforrás-hatás.
A Végtelen Óceán	Sík	Aqua	Mélység Őrző	-	-	5	5	-	-	"Amíg aktív, a saját körödben minden ""Sellő"", ""Elemi Lény"" és ""Sárkány"" Főfajú Entitásod a Domíniumon kap +1 ATK-t és +1 maximális HP-t."	while active, during your turn your Merfolk, Elemental, and Dragon entities on board gain +1 ATK and +1 max HP	dominium	blank	static	own_entities	atk_mod, hp_mod	while_active	applies_only_during_your_turn_to_allied_merfolk_elemental_and_dragon_entities_on_dominium	A saját körödben a Sellő, Elemi Lény és Sárkány entitásaid +1 ATK-t és +1 max HP-t kapnak.	folyamatos_sik_hatas	Fajszűrt, saját körre korlátozott folyamatos globális buff.
A Nyugalom Tengere	Sík	Aqua	Mélység Őrző	-	-	3	4	-	-	Amíg aktív, minden 4 vagy annál magasabb ATK-val rendelkező Entitás a megidézése körében automatikusan Kimerült állapotban lép a Domíniumra.	while active, entities with 4 or more ATK enter the board exhausted on the turn they are summoned	dominium	blank	on_summon	own_entity, enemy_entity	exhaust	while_active	trigger_only_if_summoned_entity_has_atk_gte_4	Amíg aktív, minden 4 vagy nagyobb ATK-jú entitás kimerülten lép a Domíniumra a megidézése körében.	folyamatos_sik_hatas	Summon-szabályt módosító folyamatos síkhatás ATK-szűréssel.
Elfeledett Atlantisz	Sík	Aqua	Mélység Őrző	-	-	4	5	-	-	Amíg aktív, minden Oltalom (Aegis) kulcsszóval rendelkező Aqua Entitásod azonnal kap +2 maximális HP-t.	while active, your Aqua entities with aegis gain +2 max HP	dominium	blank	static	own_entities	hp_mod	while_active	affects_allied_aqua_entities_with_aegis	Minden saját Aegis-es Aqua entitásod +2 max HP-t kap, amíg a sík aktív.	folyamatos_sik_hatas	Keyword- és birodalom-szűrt folyamatos globális HP-bónusz.
Hullámlovas Fürgél	Entitás	Aqua	Áramlat-táncos	Sellő	Kósza	1	1	2	1	[DOMÍNIUM] Gyorsaság (Celerity). Bármikor a saját körödben 1 Aqua Aura elforgatásával helyet cserélhet az azonos Áramlatban lévő Zenit/Horizont mezőn álló Entitással.	[DOMINIUM] celerity; during your turn you may pay 1 Aqua aura to swap this with the entity in the paired Zenit/Horizont slot of the same lane	dominium, horizont, zenit	celerity	static	self	move_horizont, move_zenit, source_manipulation	static_while_on_board	can_swap_only_with_entity_in_same_lane_paired_slot_during_own_turn	Saját körben 1 Aqua Aura árán helyet cserélhet az azonos Áramlatban lévő párjával.	osszetett_egyedi	Ismételhető, költséges swap-képesség lane-párosítási szabállyal.
Cseppfolyós Orgyilkos	Entitás	Aqua	Áramlat-táncos	Sellő	Orgyilkos	2	1	2	1	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. [DOMÍNIUM] Ha ebben a körben a Zenitből a Horizontra lépett, a támadása az adott körben figyelmen kívül hagyja a védő Oltalom (Aegis) képességét.	[ZENIT] cannot be targeted by enemy spells; if this moved from Zenit to Horizont this turn, its attack ignores aegis this turn	zenit, dominium, horizont	blank	static	self	untargetable, attack_restrict	until_turn_end	if_this_moved_from_zenit_to_horizont_this_turn	Zenitben nem célozható varázslatokkal, és ha ebben a körben előrelépett, a támadása figyelmen kívül hagyja az Oltalmat.	osszetett_egyedi	Két külön zónaszabály: statikus védelem + mozgáshoz kötött támadási kivétel.
Áramlat-táncos Pengemester	Entitás	Aqua	Áramlat-táncos	Sellő	Szamuráj	2	4	3	2	[HORIZONT] Gyorsaság (Celerity). Ha a Betörés fázisban sikeresen sebez, a harc után azonnal, ingyen hátraléphet egy üres Zenit mezőbe.	[HORIZONT] celerity; after dealing successful combat damage during breakthrough, may move to an empty Zenit slot	horizont, zenit	celerity	on_attack_hits	self	move_zenit	instant	trigger_only_if_this_deals_successful_combat_damage_during_breakthrough	Ha sikeresen sebez a Betörés fázisban, a harc után ingyen hátraléphet egy üres Zenit mezőbe.	elso_koros_gepi_ertelmezes	Egyszerűbb támadás-utáni reposition mozgás.
Mélységi Áramlás-formáló	Entitás	Aqua	Áramlat-táncos	Elemi Lény	Mágus	3	2	2	4	[ZENIT] Minden alkalommal, amikor egy saját Entitásod pozíciót vált (Horizontról Zenitbe, vagy fordítva), az az Entitás kap +1 ATK-t az adott kör végéig.	[ZENIT] whenever your entity changes position between Horizont and Zenit, that entity gains +1 ATK until end of turn	zenit, horizont	blank	on_position_swap	own_entity	atk_mod	until_turn_end	trigger_when_allied_entity_moves_between_horizont_and_zenit	Valahányszor egy saját entitásod helyet vált a Horizont és Zenit között, +1 ATK-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Movement-triggeres ideiglenes buff.
Áramlás-szövő Sellő	Entitás	Aqua	Áramlat-táncos	Sellő	Mágus	3	2	2	3	[HORIZONT] Amikor támadást indít egy ellenséges Entitás ellen, a védekező játékos kénytelen felcserélni a megtámadott Entitását a mögötte álló (Zenitben lévő) Entitásával a sebzés előtt.	[HORIZONT] when this attacks an enemy entity, defender must swap the attacked entity with the entity behind it before damage	horizont, zenit	blank	on_attack_declared	enemy_horizont_entity, enemy_zenit_entity	move_horizont, move_zenit	instant	target_enemy_horizont_entity_must_have_entity_behind_it_in_zenit	Amikor ellenséges entitást támad, a célpont a sebzés előtt helyet cserél a mögötte álló Zenit-entitással.	osszetett_egyedi	Ellenséges oldalra kényszerített támadás előtti swap-logika.
Zátony-Lopakodó	Entitás	Aqua	Áramlat-táncos	Bestia	Alap	3	3	3	3	[ZENIT] Minden alkalommal, amikor egy ellenséges Entitás pozíciót vált (akarata ellenére vagy sem), a Zátony-Lopakodó okoz 1 közvetlen sebzést az ellenfél Aeternaljának vagy egyik Pecsétjének.	[ZENIT] whenever an enemy entity changes position, deal 1 damage to enemy Aeternal or a seal	zenit, aeternal, seal_row	blank	on_position_swap	enemy_aeternal, enemy_seal	damage, seal_damage	while_active	trigger_when_enemy_entity_changes_position	Ha egy ellenséges entitás helyet vált, 1 sebzést okoz az ellenfél Aeternáljának vagy egyik pecsétjének.	osszetett_egyedi	Movement-triggeres közvetlen sebzés többféle célpontra.
Illúzió-Szirén	Entitás	Aqua	Áramlat-táncos	Sellő	Mágus	3	4	2	3	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. A Manifesztáció fázisodban (körönként egyszer) kényszeríthetsz egy ellenséges Entitást a Horizonton, hogy cseréljen helyet a mögötte álló Zenit Entitással.	[ZENIT] cannot be targeted by enemy spells; during your manifestation phase once per turn you may force an enemy Horizont entity to swap with the Zenit entity behind it	zenit, horizont	blank	on_influx_phase	enemy_horizont_entity, enemy_zenit_entity	untargetable, move_horizont, move_zenit	instant	usable_once_per_turn_during_your_manifestation_phase_and_target_must_have_entity_behind_it_in_zenit	Zenitben nem célozható, és a Manifesztáció fázisban egyszer egy ellenséges Horizont-entitást helyet cseréltethet a mögötte lévő Zenit-entitással.	osszetett_egyedi	Statikus védelem + fázis-alapú kényszerített ellenséges swap.
Vízpenge Mester	Entitás	Aqua	Áramlat-táncos	Sellő	Harcos	4	2	5	2	[DOMÍNIUM] Gyorsaság (Celerity). Ez az Entitás csak akkor indíthat támadást, ha abban a körben mozgott (felcserélődött) a Domíniumon.	[DOMINIUM] celerity; can attack only if it moved this turn	dominium	celerity	static	self	attack_restrict	static_while_on_board	can_attack_only_if_it_swapped_or_moved_this_turn	Gyorsasága van, de csak akkor támadhat, ha ebben a körben mozgott vagy helyet cserélt.	elso_koros_gepi_ertelmezes	Feltételes támadási korlátozás mozgáskövetéssel.
Örvény-Vadász	Entitás	Aqua	Áramlat-táncos	Bestia	Alap	4	2	4	3	"[DOMÍNIUM] Amikor ez az Entitás a Zenitből a Horizontra ""ugrik"", megkapja a Hasítás (Sundering) kulcsszót az adott körre."	[DOMINIUM] when this moves from Zenit to Horizont, it gains sundering until end of turn	dominium, zenit, horizont	blank	on_move_zenit_to_horizont	self	grant_keyword	until_turn_end	trigger_when_this_moves_from_zenit_to_horizont	Ha a Zenitből a Horizontra ugrik, a kör végéig megkapja a Hasítás kulcsszót.	elso_koros_gepi_ertelmezes	Egyszerű mozgás-triggeres ideiglenes keyword-adás.
Mélytengeri Karmester	Entitás	Aqua	Áramlat-táncos	Sellő	Parancsnok	4	4	2	4	[ZENIT] Rezonancia 2. Amíg itt tartózkodik, minden alkalommal, amikor két saját Entitásod helyet cserél egymással, mindketten kapnak +1 ATK-t és +1 maximális HP-t a kör végéig.	[ZENIT] resonance 2; whenever two allied entities swap, both gain +1 ATK and +1 max HP until end of turn	zenit	resonance	on_position_swap	own_entities	atk_mod, hp_mod	until_turn_end	trigger_when_two_allied_entities_swap	Ha két saját entitásod helyet cserél, mindketten +1 ATK-t és +1 max HP-t kapnak a kör végéig.	osszetett_egyedi	Két célpontra ható swap-triggeres ideiglenes buff.
Vízesés Gólem	Entitás	Aqua	Áramlat-táncos	Gólem	Alap	5	5	4	5	"[DOMÍNIUM] Riadó (Clarion): Megidézésekor azonnal ""áthúzhat"" egy ellenséges Entitást a Zenitből a Horizontra (ha van előtte üres hely), Kimerült állapotban."	[DOMINIUM] clarion: move target enemy Zenit entity to Horizont exhausted if there is an empty front slot	dominium, zenit, horizont	clarion	on_summon	enemy_zenit_entity	move_horizont, exhaust	instant	target_enemy_zenit_entity_must_have_empty_front_horizont_slot	Megidézéskor egy ellenséges Zenit-entitást előrehúz a Horizontra kimerült állapotban, ha van hely.	osszetett_egyedi	Clarionnal végzett ellenséges zónamozgatás feltételes üres hellyel.
Viharhozó Elementál	Entitás	Aqua	Áramlat-táncos	Elemi Lény	Alap	6	5	4	5	[DOMÍNIUM] Riadó (Clarion): Amikor megidézed, az összes 2-es vagy annál kisebb Magnitúdójú Entitás a Horizonton (a tieid és az ellenféléi is) azonnal visszakerül a tulajdonosuk kezébe.	[DOMINIUM] clarion: all Horizont entities with magnitude 2 or less return to their owners' hands	dominium, horizont	clarion	on_summon	own_horizont_entities, enemy_horizont_entities	return_to_hand	instant	affects_all_horizont_entities_with_magnitude_lte_2	Megidézéskor az összes 2-es vagy kisebb Magnitúdójú Horizont-entitás visszakerül a tulajdonosa kezébe.	elso_koros_gepi_ertelmezes	Tömeges Clarion-bounce Magnitúdó-szűréssel.
Hullámtáncos Leviatán	Entitás	Aqua	Áramlat-táncos	Sárkány	Alap	7	4	6	4	[HORIZONT] Bármikor, amikor ez az Entitás halálos sebzést kapna, kifizethetsz 2 Aqua Aurát. Ha megteszed, a sebzés érvénytelenítődik, és a Leviatán visszahúzódik egy üres Zenit mezőre.	[HORIZONT] when this would take lethal damage, you may pay 2 Aqua aura; if you do, prevent that damage and move this to an empty Zenit slot	horizont, zenit	blank	on_combat_damage_taken	self	damage_prevention, move_zenit, source_manipulation	instant	requires_payment_of_2_aqua_aura_and_empty_zenit_slot_when_this_would_take_lethal_damage	Ha halálos sebzést kapna, 2 Aqua Aura kifizetésével a sebzés megelőzhető, és visszahúzódik egy üres Zenit mezőre.	osszetett_egyedi	Megelőző halálvédelem költséggel és visszavonulással.
Tengerkígyó az Áramlatok Ura	Entitás	Aqua	Áramlat-táncos	Sárkány	Hős	7	5	6	6	[HORIZONT] Gyorsaság (Celerity). Támadás előtt 2 Aqua Aura kifizetésével teljesen átrendezheted a saját Domíniumodat! (A pályán lévő Entitásaidat tetszőlegesen helyezheted át, a Kimerült/Aktív állapotuk megmarad).	[HORIZONT] celerity; before attacking, you may pay 2 Aqua aura to rearrange your board freely	dominium, horizont	celerity	on_attack_declared	own_entities	move_horizont, move_zenit, source_manipulation	instant	before_attacking_you_may_pay_2_aqua_aura_to_rearrange_allied_board	Támadás előtt 2 Aqua Aura árán teljesen átrendezheted a saját Domíniumodat.	osszetett_egyedi	Teljes saját board-rearrange költséggel, a státuszok megtartásával.
Hablovas Hírnök	Entitás	Aqua	Áramlat-táncos	Sellő	Kósza	1	1	1	1	[DOMÍNIUM] Amikor ez a lap helyet cserél egy másik saját Entitással, húzz 1 lapot, majd dobj el egyet.	[DOMINIUM] whenever this swaps with another allied entity, draw 1 then discard 1	dominium	blank	on_position_swap	self	draw, discard	instant	trigger_when_this_swaps_with_another_allied_entity	Ha ez a lap helyet cserél egy másik saját entitással, húzol 1 lapot, majd eldobasz 1-et.	elso_koros_gepi_ertelmezes	Egyszerű swap-triggeres loot hatás.
Korall-Kém	Entitás	Aqua	Áramlat-táncos	Sellő	Tolvaj	1	1	2	1	[ZENIT] Rezonancia 2. Amíg itt áll, az ellenfél nem nézhet bele a te paklidba vagy kezedbe képességekkel.	[ZENIT] resonance 2; opponent cannot look at your deck or hand with abilities	zenit, deck, hand	resonance	static	self	ability_lock	static_while_on_board	none	A Zenitből megakadályozza, hogy az ellenfél képességekkel belenézzen a paklidba vagy a kezedbe.	osszetett_egyedi	Információhozzáférést tiltó statikus szabály.
Áramlat-szellem	Entitás	Aqua	Áramlat-táncos	Elemi Lény	Alap	2	2	1	3	[HORIZONT] Bármikor, amikor egy Ige kártyát játszol ki, ez az Entitás ingyen helyet cserélhet a mögötte álló Zenit Entitással.	[HORIZONT] whenever you play a spell, this may swap with the Zenit entity behind it	horizont, zenit	blank	on_spell_cast_by_owner	self, own_zenit_entity	move_horizont, move_zenit	instant	trigger_when_you_play_a_spell_and_this_has_entity_behind_it_in_zenit	Valahányszor Igét játszol ki, ez a lap ingyen helyet cserélhet a mögötte álló Zenit-entitással.	elso_koros_gepi_ertelmezes	Saját spell-castre reagáló opcionális swap.
Zátony-Vívó	Entitás	Aqua	Áramlat-táncos	Sellő	Szamuráj	2	3	3	2	[HORIZONT] Gyorsaság (Celerity). Ha a Zenitből érkezett a Horizontra ebben a körben, a támadása után nem merül ki.	[HORIZONT] celerity; if this moved from Zenit to Horizont this turn, it does not exhaust after attacking	horizont, zenit	celerity	on_attack_hits	self	attack_restrict	until_turn_end	if_this_moved_from_zenit_to_horizont_this_turn	Ha ebben a körben a Zenitből érkezett, a támadása után nem merül ki.	osszetett_egyedi	Mozgásfeltételes, támadás utáni exhaust-kivétel.
Medúza-Idomár	Entitás	Aqua	Áramlat-táncos	Sellő	Vadász	3	2	2	3	[ZENIT] Amíg itt van, minden alkalommal, amikor egy ellenséges Entitás a Horizontra lép, kap 1 sebzést.	[ZENIT] whenever an enemy entity enters Horizont, it takes 1 damage	zenit, horizont	blank	on_entity_enters_horizont	enemy_horizont_entity	damage	while_active	trigger_when_enemy_entity_enters_horizont	Ha egy ellenséges entitás a Horizontra lép, 1 sebzést kap.	elso_koros_gepi_ertelmezes	Belépés-triggeres passzív sebzés.
Tajték-Zsoldos	Entitás	Aqua	Áramlat-táncos	Ember	Zsoldos	3	3	3	3	[DOMÍNIUM] Riadó (Clarion): Ha van legalább 2 másik Aqua Entitásod a pályán, ez a lap kap +1 ATK-t és Gyorsaságot.	[DOMINIUM] clarion: if you control at least 2 other Aqua entities, this gains +1 ATK and celerity	dominium	clarion	on_summon	self	atk_mod, grant_keyword	until_turn_end	requires_at_least_2_other_allied_aqua_entities_on_board	Clarionkor, ha van legalább 2 másik Aqua entitásod, ez a lap +1 ATK-t és Gyorsaságot kap.	elso_koros_gepi_ertelmezes	Feltételes önbuff Clarionnal.
Hullámverő Kos	Entitás	Aqua	Áramlat-táncos	Bestia	Alap	4	3	4	3	"[HORIZONT] Hasítás (Sundering). Amikor támad, a célpont mögötti Zenit-Entitás is kap 1 sebzést a ""fröccsenéstől""."	[HORIZONT] sundering; when this attacks, the Zenit entity behind the target also takes 1 damage	horizont, zenit	sundering	on_attack_declared	enemy_zenit_entity	damage	instant	targeted_enemy_must_have_entity_behind_it_in_zenit	Amikor támad, a célpont mögötti Zenit-entitás is 1 sebzést kap.	elso_koros_gepi_ertelmezes	Támadáskor egyszerű fröccsenő sebzés a hátsó célpontra.
Áramlat-Lovag	Entitás	Aqua	Áramlat-táncos	Sellő	Lovag	4	4	2	5	[HORIZONT] Oltalom (Aegis). Bármikor felcserélheted a helyét egy szomszédos Horizonton álló Aqua Entitással.	[HORIZONT] aegis; may swap with an adjacent allied Aqua Horizont entity	horizont	aegis	static	self, own_horizont_entity	move_horizont	static_while_on_board	target_must_be_adjacent_allied_aqua_horizont_entity	Bármikor helyet cserélhet egy szomszédos Aqua Horizont-entitással.	elso_koros_gepi_ertelmezes	Egyszerű, ismételhető pozícióváltás szomszédsági feltétellel.
Mélységi Szirén	Entitás	Aqua	Áramlat-táncos	Sellő	Mágus	4	4	2	4	[ZENIT] Harmonizálás (Harmonize). A Manifesztáció fázisodban kényszeríthetsz egy ellenséges Zenit-Entitást, hogy lépjen előre a Horizontra (ha van hely).	[ZENIT] harmonize; during your manifestation phase you may force an enemy Zenit entity to move to Horizont if there is space	zenit, horizont	harmonize	on_influx_phase	enemy_zenit_entity	move_horizont	instant	target_enemy_zenit_entity_must_have_empty_front_horizont_slot	Manifesztációkor egy ellenséges Zenit-entitást előreléptethet a Horizontra, ha van hely.	osszetett_egyedi	Harmonize mellett fázis-alapú ellenséges előreléptetés.
Örvény-Gólem	Entitás	Aqua	Áramlat-táncos	Gólem	Alap	5	4	3	6	[HORIZONT] Minden alkalommal, amikor helyet cserél, az adott kör végéig megkapja az Oltalom (Aegis) kulcsszót.	[HORIZONT] whenever this swaps, it gains aegis until end of turn	horizont	blank	on_position_swap	self	grant_keyword	until_turn_end	trigger_when_this_swaps	Valahányszor helyet cserél, a kör végéig megkapja az Oltalom kulcsszót.	elso_koros_gepi_ertelmezes	Egyszerű self-swap triggeres ideiglenes keyword-adás.
Árapály Hercege	Entitás	Aqua	Áramlat-táncos	Sellő	Nemes	5	5	4	5	[ZENIT] Amíg itt tartózkodik, minden helycsere (swap) Aura-költsége 0-ra csökken a saját körödben.	[ZENIT] while this is in Zenit, swap costs become 0 during your turn	zenit	blank	static	self	cost_mod	static_while_on_board	affects_swap_costs_only_during_your_turn	Amíg a Zenitben van, a saját körödben minden helycsere Aura-költsége 0 lesz.	osszetett_egyedi	Folyamatos költségmódosító, egy adott akciótípusra korlátozva.
Viharszárnyú Hal	Entitás	Aqua	Áramlat-táncos	Bestia	Alap	6	5	5	4	[HORIZONT] Légies (Ethereal). Ha a Zenitből lép a Horizontra, azonnal támadhat ebben a körben (még ha Kimerült is).	[HORIZONT] ethereal; if this moved from Zenit to Horizont, it may attack this turn even if exhausted	horizont, zenit	ethereal	static	self	attack_restrict	until_turn_end	if_this_moved_from_zenit_to_horizont_this_turn	Légies, és ha a Zenitből lépett előre, ebben a körben azonnal támadhat.	osszetett_egyedi	Mozgásfeltételes támadási kivétel egy meglévő keyword mellett.
Hullámtörő Admirális	Entitás	Aqua	Áramlat-táncos	Sellő	Parancsnok	6	6	4	6	[ZENIT] Rezonancia 1. Amikor egy saját Entitásod a Zenitből a Horizontra lép, kap +2 ATK-t a kör végéig.	[ZENIT] resonance 1; when your entity moves from Zenit to Horizont, it gains +2 ATK until end of turn	zenit, horizont	resonance	on_move_zenit_to_horizont	own_entity	atk_mod	until_turn_end	trigger_when_allied_entity_moves_from_zenit_to_horizont	Amikor egy saját entitásod a Zenitből a Horizontra lép, +2 ATK-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Rezonancia mellett egyszerű movement-triggeres buff.
Az Áramlatok Sárkánya	Entitás	Aqua	Áramlat-táncos	Sárkány	Hős	7	6	6	5	[HORIZONT] Gyorsaság (Celerity). Amikor ez az Entitás támad, az összes többi saját Entitásod a pályán azonnal felcserélheti a helyét a saját Áramlatán belül.	[HORIZONT] celerity; when this attacks, all other allied entities may immediately swap within their own lanes	horizont	celerity	on_attack_declared	own_entities	move_horizont, move_zenit	instant	affects_all_other_allied_entities_and_swaps_only_within_each_entitys_own_lane	Amikor támad, az összes többi saját entitásod azonnal helyet cserélhet a saját Áramlatán belül.	osszetett_egyedi	Tömeges, több egységre ható opcionális swap-hatás támadáskor.
Abisszális Alakváltó	Entitás	Aqua	Áramlat-táncos	Elemi Lény	Mágus	7	7	5	6	[DOMÍNIUM] Riadó (Clarion): Választhatsz egy tetszőleges Entitást a pályán. Ez a lap lemásolja annak az ATK/HP értékeit és kulcsszavait a kör végéig.	[DOMINIUM] clarion: choose an entity on the board; this copies its ATK, HP, and keywords until end of turn	dominium	clarion	on_summon	own_entity, enemy_entity	copy_stats, copy_keywords	until_turn_end	choose_any_entity_on_board	Clarionkor kiválaszthatsz egy pályán lévő entitást, és ez a lap a kör végéig lemásolja annak ATK/HP értékeit és kulcsszavait.	osszetett_egyedi	Ideiglenes stat- és keyword-másolás tetszőleges board-célpontról.
Tengeristen Megtestesülése	Entitás	Aqua	Áramlat-táncos	Szellem	Hős	8	8	7	7	[HORIZONT] Amíg Aktív, az ellenfél nem indíthat támadást a Zenitben lévő Entitásaid ellen. Minden saját helycsere után okoz 2 sebzést az ellenfél Aeternaljának.	[HORIZONT] while active, opponent cannot attack your Zenit entities; after each allied swap, deal 2 damage to enemy Aeternal	horizont, zenit, aeternal	blank	on_position_swap	own_zenit_entities, enemy_aeternal	attack_restrict, damage	static_while_on_board	prevents_attacks_against_own_zenit_entities_while_active_and_triggers_after_each_allied_swap	Amíg aktív, az ellenfél nem támadhatja a Zenit-entitásaidat, és minden saját helycsere után 2 sebzést okoz az ellenfél Aeternáljának.	osszetett_egyedi	Folyamatos támadási tiltás és swap-triggeres közvetlen Aeternal-sebzés egy lapon.
Nagy Áramlás	Rituálé	Aqua	Áramlat-táncos	-	-	3	3	-	-	Minden játékos felcseréli az összes saját Horizonton lévő Entitását a mögöttük lévő Zenit-Entitásokkal.	each player swaps all their Horizont entities with the Zenit entities behind them	horizont, zenit	blank	blank	own_entities, enemy_entities	move_horizont, move_zenit	instant	swap_each_players_horizont_entities_with_their_paired_zenit_entities	Mindkét játékos felcseréli a saját Horizont-entitásait a mögöttük álló Zenit-entitásokkal.	osszetett_egyedi	Tömeges, kétoldali, párosított zónacsere; teljes board-swap logika kell hozzá.
Sellők Dala	Rituálé	Aqua	Áramlat-táncos	-	-	4	4	-	-	Vedd át az irányítást egy ellenséges 3-as vagy annál kisebb Magnitúdójú Entitás felett egy körre. A kör végén visszakerül az ellenfélhez.	gain control of target enemy entity with magnitude 3 or less until end of turn	dominium	blank	blank	enemy_entity	control_change	until_turn_end	target_enemy_entity_with_magnitude_lte_3	Egy 3-as vagy kisebb Magnitúdójú ellenséges entitás felett átveszed az irányítást a kör végéig.	osszetett_egyedi	Ideiglenes kontrollváltás külön ownership/state kezelést igényel.
Tisztító Eső	Rituálé	Aqua	Áramlat-táncos	-	-	5	3	-	-	Távolíts el minden negatív hatást és sebzést a saját Aqua Entitásaidról.	remove all negative effects and damage from your Aqua entities	dominium	blank	blank	own_entities	heal, cleanse	instant	affects_only_allied_aqua_entities	Minden saját Aqua entitásodról eltávolítja a sebzést és a negatív hatásokat.	osszetett_egyedi	Negatív állapotok teljes takarítása és gyógyítás kombinációja.
Mélységi Behívó	Rituálé	Aqua	Áramlat-táncos	-	-	6	5	-	-	Keress a paklidban egy Aqua Entitást, mutasd meg, és tedd a kezedbe. Ebben a körben 2 Aurával olcsóbban idézheted meg.	search your deck for an Aqua entity, put it into your hand; you may summon it for 2 less aura this turn	deck, hand	blank	blank	own_deck, own_hand	tutor, cost_mod	until_turn_end	target_must_be_aqua_entity_in_own_deck_and_cost_reduction_applies_this_turn	Keresel a paklidból egy Aqua entitást, kézbe veszed, és ebben a körben 2 Aurával olcsóbban idézheted meg.	osszetett_egyedi	Tutor + ideiglenes célzott költségcsökkentés együtt.
